unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RI;500;2500;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Poste;02010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02011;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02013;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02014;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02015;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02016;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02019;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02026;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02030;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02031;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02032;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02033;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02034;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02035;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02037;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02038;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02039;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02040;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02041;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02042;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02043;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02044;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02045;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02046;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02047;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02048;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02049;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;02100;3000;3000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;FR;2500;8000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Poste;03010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03011;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03013;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03014;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03016;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03017;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03019;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03026;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03027;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03028;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03029;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03030;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03031;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03032;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03033;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03034;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03035;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03036;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03037;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03038;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03039;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03040;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03041;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03042;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03043;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03044;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03045;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03046;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03047;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03048;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03049;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;03100;3000;3000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;LT;3000;10500;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Poste;04010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04011;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04013;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04014;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04015;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04016;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04017;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04019;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04026;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04027;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04029;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04031;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;04100;3000;3000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;TR;1500;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Sailpost;TR;40000;100000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890
Poste;05010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
